MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4441051000,-122.2327648000,11.179349899291992,0.002236068,0.1,30.31236,1626727761999,,,,
Fix,GT,37.4441051000,-122.2327648000,11.178350448608398,0.002236068,0.1,30.312555,1626727762999,,,,
Fix,GT,37.4441051000,-122.2327648000,11.180350303649902,0.00499605,0.1,30.31219,1626727763999,,,,
Fix,GT,37.4441051000,-122.2327648000,11.184348580436733,0.006995137,0.1,30.401667,1626727764999,,,,
Fix,GT,37.4441039000,-122.2327660000,11.189350128173828,0.3833804,0.1,29.345278,1626727765999,,,,
Fix,GT,37.4441005000,-122.2327716000,11.181351195083266,0.78511477,0.1,21.865438,1626727766999,,,,
Fix,GT,37.4440940000,-122.2327792000,11.165352847843678,1.0468878,0.1,9.943886,1626727767999,,,,
Fix,GT,37.4440857000,-122.2327852000,11.1433525439287,0.87092024,0.1,356.99094,1626727768999,,,,
Fix,GT,37.4440807000,-122.2327874000,11.135350227355957,0.21907148,0.1,350.2213,1626727769999,,,,
Fix,GT,37.4440804000,-122.2327875000,11.137350082397461,0.016753286,0.1,349.62668,1626727770999,,,,
Fix,GT,37.4440841000,-122.2327897000,11.139349937438965,0.9547579,0.1,346.4929,1626727771999,,,,
Fix,GT,37.4440948000,-122.2328035000,11.17534580180859,1.9407483,0.1,327.64816,1626727772999,,,,
Fix,GT,37.4441027000,-122.2328321000,11.161356113485681,2.7619462,0.1,297.50754,1626727773999,,,,
Fix,GT,37.4440990000,-122.2328721000,11.111358875827705,3.6765974,0.1,266.2737,1626727774999,,,,
Fix,GT,37.4440789000,-122.2329110000,11.018364379743161,3.9946864,0.1,237.12645,1626727775999,,,,
Fix,GT,37.4440501000,-122.2329362000,10.911360588386287,3.1590545,0.1,215.76541,1626727776999,,,,
Fix,GT,37.4440311000,-122.2329478000,10.834348152497114,2.0090325,0.1,209.0802,1626727777999,,,,
Fix,GT,37.4440130000,-122.2329594000,10.791354816657929,2.4611742,0.1,207.9541,1626727778999,,,,
Fix,GT,37.4439903000,-122.2329741000,10.709373439947626,3.4011133,0.1,207.23775,1626727779999,,,,
Fix,GT,37.4439576000,-122.2329949000,10.63736350659184,4.540599,0.1,207.00688,1626727780999,,,,
Fix,GT,37.4439217000,-122.2330187000,10.56336168678871,4.368015,0.1,207.98875,1626727781999,,,,
Fix,GT,37.4438907000,-122.2330435000,10.500367985851199,3.7385368,0.1,213.08504,1626727782999,,,,
Fix,GT,37.4438694000,-122.2330657000,10.432362178884887,2.3992593,0.1,218.79572,1626727783999,,,,
Fix,GT,37.4438576000,-122.2330832000,10.308366180598966,2.0789273,0.1,226.40884,1626727784999,,,,
Fix,GT,37.4438509000,-122.2331070000,10.15938361607573,2.5741842,0.1,244.40938,1626727785999,,,,
Fix,GT,37.4438531000,-122.2331417000,10.11833337790597,3.7427468,0.1,269.37082,1626727786999,,,,
Fix,GT,37.4438672000,-122.2331898000,10.033371234562765,5.574144,0.1,290.67792,1626727787999,,,,
Fix,GT,37.4438942000,-122.2332559000,9.843382353643392,7.6104517,0.1,297.31366,1626727788999,,,,
Fix,GT,37.4439318000,-122.2333382000,9.604389735018344,8.98339,0.1,300.7381,1626727789999,,,,
