tripId,UnixTimeMillis,LatitudeDegrees,LongitudeDegrees,AltitudeMeters
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42829497,-122.0725265,-27.52
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42828973,-122.0725225,-27.44
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42828467,-122.0725249,-26.48
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42827849,-122.0725311,-26.89
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42826916,-122.0725474,-27.21
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42826558,-122.0725786,-27.27
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42827763,-122.0726153,-27.31
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42830463,-122.0726597,-27.56
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42833948,-122.072728,-27.88
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837125,-122.0728192,-27.97
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838467,-122.0729308,-27.97
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838825,-122.0730542,-28.14
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838607,-122.0731909,-28.04
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838327,-122.0733372,-27.73
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838282,-122.0734936,-27.49
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838216,-122.0736604,-27.55
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.4283807,-122.0738295,-27.73
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.4283803,-122.0739974,-27.84
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837957,-122.0741716,-28.03
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837831,-122.0743499,-28.13
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837754,-122.0745323,-28.35
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837785,-122.0747219,-28.77
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42837989,-122.0749182,-29.19
2020-06-25-00-34-us-ca-mtv-sb-101/pixel4,1.59305E+12,37.42838116,-122.0751203,-29.77
