MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4282890000,-122.0725270000,-28.20880126953125,0.008032393,0.1,238.64082,1593045252447,,,,
Fix,GT,37.4282889000,-122.0725270000,-28.20880211021904,0.013538857,0.1,238.64096,1593045253447,,,,
Fix,GT,37.4282888000,-122.0725270000,-28.209799879497268,0.020699322,0.1,238.64215,1593045254447,,,,
Fix,GT,37.4282882000,-122.0725278000,-28.221800916737266,0.48250806,0.1,238.29805,1593045255447,,,,
Fix,GT,37.4282812000,-122.0725364000,-28.207882892857185,1.557615,0.1,232.9659,1593045256447,,,,
Fix,GT,37.4282703000,-122.0725539000,-28.190198627078473,2.3215017,0.1,233.99725,1593045257447,,,,
Fix,GT,37.4282657000,-122.0725838000,-28.2393607859276,3.0217004,0.1,255.80428,1593045258447,,,,
Fix,GT,37.4282760000,-122.0726221000,-28.183402445864772,4.0689116,0.1,286.77316,1593045259447,,,,
Fix,GT,37.4283031000,-122.0726682000,-28.232076641334515,6.0902834,0.1,306.0996,1593045260447,,,,
Fix,GT,37.4283381000,-122.0727351000,-28.313679010708483,8.01054,0.1,301.19894,1593045261447,,,,
Fix,GT,37.4283675000,-122.0728254000,-28.402117284869007,9.26646,0.1,288.47964,1593045262447,,,,
Fix,GT,37.4283820000,-122.0729354000,-28.472719914921072,10.4391365,0.1,275.83383,1593045263447,,,,
Fix,GT,37.4283856000,-122.0730590000,-28.440525069610715,11.484282,0.1,270.41992,1593045264447,,,,
Fix,GT,37.4283839000,-122.0731947000,-28.34615803261954,12.511393,0.1,268.8172,1593045265447,,,,
Fix,GT,37.4283814000,-122.0733405000,-28.18308447964273,13.324852,0.1,269.07538,1593045266447,,,,
Fix,GT,37.4283804000,-122.0734965000,-28.073085779977646,14.283155,0.1,269.5223,1593045267447,,,,
Fix,GT,37.4283797000,-122.0736627000,-28.02027970308643,14.95309,0.1,269.7549,1593045268447,,,,
Fix,GT,37.4283792000,-122.0738314000,-28.075157282769283,14.868091,0.1,269.8267,1593045269447,,,,
Fix,GT,37.4283787000,-122.0739997000,-28.195476004299962,15.072347,0.1,269.71765,1593045270447,,,,
Fix,GT,37.4283777000,-122.0741738000,-28.282199426366105,15.665352,0.1,269.51074,1593045271447,,,,
Fix,GT,37.4283767000,-122.0743522000,-28.361037506383582,15.937968,0.1,269.64948,1593045272447,,,,
Fix,GT,37.4283760000,-122.0745351000,-28.48999663340328,16.449139,0.1,269.91678,1593045273447,,,,
Fix,GT,37.4283763000,-122.0747247000,-28.751109438209312,17.110851,0.1,270.33838,1593045274447,,,,
Fix,GT,37.4283778000,-122.0749214000,-29.15563061996818,17.703539,0.1,270.56885,1593045275447,,,,
