MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.0012683338,0.1,83.631744,1626295846435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.0017036584,0.1,83.63182,1626295847435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.0017036584,0.1,83.63161,1626295848435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.0009999999,0.1,83.63183,1626295849435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.0014353249,0.1,83.63173,1626295850435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.00049806514,0.1,83.63155,1626295851435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.003605551,0.1,83.631454,1626295852435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.001,0.1,83.63248,1626295853435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.0009161481,0.1,83.63179,1626295854435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.0,0.099,83.631256,1626295855435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.001,0.1,83.63089,1626295856435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.0,0.1,83.631004,1626295857435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.0,0.1,83.63092,1626295858435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.0,0.1,83.630844,1626295859435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.0,0.1,83.630806,1626295860435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.0012683335,0.1,83.63062,1626295861435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.0004980659,0.1,83.63039,1626295862435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72406005859375,0.0,0.1,83.63048,1626295863435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.7240556560737,0.0,0.1,83.630424,1626295864435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72305297851562,0.0,0.1,83.63041,1626295865435,,,,
Fix,GT,37.5240121000,-122.3499208000,147.72305297851562,0.0,0.1,83.6303,1626295866435,,,,
