MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0022318054,0.1,83.631744,1626295841999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0009965478,0.1,83.63187,1626295842999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.000004887517,0.1,83.63183,1626295843999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0014142136,0.1,83.631874,1626295844999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.001412779,0.1,83.6319,1626295845999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.001,0.1,83.63176,1626295846999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0014162466,0.1,83.63201,1626295847999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0000077690265,0.1,83.632164,1626295848999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0014142136,0.1,83.632,1626295849999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0009965184,0.1,83.63155,1626295850999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.002000823,0.1,83.63123,1626295851999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0000049342157,0.1,83.63216,1626295852999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0009965074,0.1,83.63157,1626295853999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.001,0.1,83.63089,1626295854999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0,0.1,83.63104,1626295855999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.00000350374,0.1,83.63103,1626295856999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0009964927,0.1,83.63096,1626295857999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0,0.1,83.6309,1626295858999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0,0.1,83.630844,1626295859999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0014092377,0.1,83.63077,1626295860999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0000035220983,0.1,83.63077,1626295861999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0009964743,0.1,83.630554,1626295862999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72434997558594,0.0009964706,0.1,83.6303,1626295863999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.72334645364754,0.0,0.1,83.63042,1626295864999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.7233428955078,0.0,0.1,83.63049,1626295865999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.7233428955078,0.0009964596,0.1,83.6304,1626295866999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.7233428955078,0.001,0.1,83.63067,1626295867999,,,,
Fix,GT,37.5240083000,-122.3499206000,147.7233428955078,0.023151722,0.1,83.63161,1626295868999,,,,
Fix,GT,37.5240088000,-122.3499158000,147.70635170343758,0.91748226,0.1,83.75499,1626295869999,,,,
Fix,GT,37.5240088000,-122.3499001000,147.66237836066466,1.892235,0.1,87.179405,1626295870999,,,,
Fix,GT,37.5240046000,-122.3498746000,147.6323537592807,2.7705936,0.1,97.84706,1626295871999,,,,
Fix,GT,37.5239932000,-122.3498416000,147.5803670254154,3.6839416,0.1,111.43955,1626295872999,,,,
Fix,GT,37.5239728000,-122.3498019000,147.488402903542,4.752651,0.1,122.77375,1626295873999,,,,
Fix,GT,37.5239417000,-122.3497594000,147.46732478412378,5.516302,0.1,133.71791,1626295874999,,,,
Fix,GT,37.5239021000,-122.3497172000,147.5743015070475,5.973851,0.1,141.25014,1626295875999,,,,
Fix,GT,37.5238569000,-122.3496835000,147.65932963114756,5.7952166,0.1,151.04056,1626295876999,,,,
Fix,GT,37.5238091000,-122.3496599000,147.59337474453423,5.6619635,0.1,159.61253,1626295877999,,,,
Fix,GT,37.5237618000,-122.3496413000,147.63529530349297,5.314148,0.1,162.06885,1626295878999,,,,
Fix,GT,37.5237197000,-122.3496184000,147.80429081439252,4.735973,0.1,155.56635,1626295879999,,,,
Fix,GT,37.5236873000,-122.3495935000,147.98627876626506,3.620325,0.1,148.37039,1626295880999,,,,
Fix,GT,37.5236638000,-122.3495716000,148.19126253562627,2.845657,0.1,143.92877,1626295881999,,,,
Fix,GT,37.5236450000,-122.3495533000,148.39224484055285,2.443431,0.1,142.77176,1626295882999,,,,
Fix,GT,37.5236255000,-122.3495412000,148.4063091172975,2.458197,0.1,152.52586,1626295883999,,,,
Fix,GT,37.5236044000,-122.3495428000,148.28129829781392,2.3821526,0.1,175.49727,1626295884999,,,,
Fix,GT,37.5235839000,-122.3495569000,148.36430964671854,2.8091776,0.1,200.7626,1626295885999,,,,
Fix,GT,37.5235642000,-122.3495825000,148.3973497306506,3.653842,0.1,222.00919,1626295886999,,,,
Fix,GT,37.5235406000,-122.3496192000,148.32438426196677,4.7041526,0.1,229.83202,1626295887999,,,,
Fix,GT,37.5235110000,-122.3496648000,148.1744157168523,5.730647,0.1,230.98367,1626295888999,,,,
Fix,GT,37.5234769000,-122.3497177000,147.95443630241243,6.1905775,0.1,230.80774,1626295889999,,,,
Fix,GT,37.5234411000,-122.3497720000,147.6994279130895,6.1982574,0.1,230.29497,1626295890999,,,,
Fix,GT,37.5234061000,-122.3498240000,147.44842891999542,5.717519,0.1,229.80899,1626295891999,,,,
Fix,GT,37.5233759000,-122.3498684000,147.24440445575965,4.4445825,0.1,229.54385,1626295892999,,,,
Fix,GT,37.5233552000,-122.3498989000,147.11637375742612,2.6267157,0.1,229.46846,1626295893999,,,,
Fix,GT,37.5233446000,-122.3499144000,147.058360505398,1.0465256,0.1,229.44096,1626295894999,,,,
Fix,GT,37.5233377000,-122.3499245000,147.0113707360706,1.5862027,0.1,229.4352,1626295895999,,,,
Fix,GT,37.5233241000,-122.3499443000,146.95336057071108,3.0373769,0.1,229.5853,1626295896999,,,,
Fix,GT,37.5233027000,-122.3499767000,146.90336175907942,4.3103814,0.1,230.19473,1626295897999,,,,
Fix,GT,37.5232779000,-122.3500144000,146.87833436283017,4.2345295,0.1,230.46265,1626295898999,,,,
Fix,GT,37.5232547000,-122.3500502000,146.93732176640788,3.9225247,0.1,230.80618,1626295899999,,,,
Fix,GT,37.5232335000,-122.3500832000,147.00632931141445,3.5624385,0.1,231.1749,1626295900999,,,,
Fix,GT,37.5232146000,-122.3501128000,147.1053356506709,3.1620371,0.1,231.47585,1626295901999,,,,
Fix,GT,37.5231979000,-122.3501393000,147.2063115401579,2.8164244,0.1,231.63545,1626295902999,,,,
Fix,GT,37.5231829000,-122.3501632000,147.29630419843306,2.5783813,0.1,231.57779,1626295903999,,,,
Fix,GT,37.5231689000,-122.3501852000,147.40030436158304,2.4034276,0.1,231.51257,1626295904999,,,,
Fix,GT,37.5231559000,-122.3502058000,147.5072990066983,2.2775226,0.1,231.4507,1626295905999,,,,
Fix,GT,37.5231431000,-122.3502259000,147.60031231354878,2.42872,0.1,231.3588,1626295906999,,,,
Fix,GT,37.5231269000,-122.3502505000,147.7212812511225,3.209646,0.1,230.7107,1626295907999,,,,
Fix,GT,37.5231055000,-122.3502830000,147.9012780162784,4.312933,0.1,230.43425,1626295908999,,,,
Fix,GT,37.5230768000,-122.3503259000,148.14025045335802,5.564588,0.1,229.76805,1626295909999,,,,
Fix,GT,37.5230408000,-122.3503783000,148.40220676045283,6.650872,0.1,229.32448,1626295910999,,,,
Fix,GT,37.5229994000,-122.3504386000,148.7741973536631,7.146975,0.1,229.28294,1626295911999,,,,
Fix,GT,37.5229587000,-122.3504983000,149.122211445635,6.7011137,0.1,229.48515,1626295912999,,,,
Fix,GT,37.5229235000,-122.3505504000,149.4032431217156,5.107472,0.1,229.8678,1626295913999,,,,
Fix,GT,37.5229002000,-122.3505855000,149.59430051464187,2.9965646,0.1,230.14893,1626295914999,,,,
Fix,GT,37.5228865000,-122.3506065000,149.67432086567806,2.277843,0.1,230.78253,1626295915999,,,,
Fix,GT,37.5228734000,-122.3506299000,149.75431147633935,2.8434021,0.1,234.30739,1626295916999,,,,
Fix,GT,37.5228630000,-122.3506621000,149.83632337780728,3.2941597,0.1,247.25523,1626295917999,,,,
Fix,GT,37.5228636000,-122.3506988000,149.8143686908279,3.3358343,0.1,269.06775,1626295918999,,,,
Fix,GT,37.5228772000,-122.3507355000,149.79332029671423,4.0602503,0.1,292.92953,1626295919999,,,,
Fix,GT,37.5229042000,-122.3507756000,149.78836028445767,5.445478,0.1,310.08362,1626295920999,,,,
Fix,GT,37.5229443000,-122.3508251000,149.76635341337806,7.087227,0.1,315.98337,1626295921999,,,,
Fix,GT,37.5229978000,-122.3508860000,149.66038805882272,8.925947,0.1,318.27585,1626295922999,,,,
Fix,GT,37.5230639000,-122.3509580000,149.42249799356523,10.5987425,0.1,319.48648,1626295923999,,,,
Fix,GT,37.5231420000,-122.3510419000,148.8876033598408,11.953245,0.1,319.2747,1626295924999,,,,
Fix,GT,37.5232256000,-122.3511311000,148.18364641619428,12.396379,0.1,319.77164,1626295925999,,,,
Fix,GT,37.5233129000,-122.3512235000,147.40264842881516,12.935923,0.1,320.00955,1626295926999,,,,
Fix,GT,37.5234037000,-122.3513203000,146.5386690997766,13.5146475,0.1,319.88403,1626295927999,,,,
Fix,GT,37.5234990000,-122.3514207000,145.66567210888934,14.076079,0.1,319.9141,1626295928999,,,,
Fix,GT,37.5235966000,-122.3515249000,144.87361606644754,14.332967,0.1,319.69406,1626295929999,,,,
Fix,GT,37.5236956000,-122.3516299000,144.26351754090228,14.416826,0.1,320.04147,1626295930999,,,,
Fix,GT,37.5237952000,-122.3517345000,143.77049492551214,14.424764,0.1,320.22543,1626295931999,,,,
Fix,GT,37.5238949000,-122.3518393000,143.29953228082195,14.419925,0.1,320.1506,1626295932999,,,,
Fix,GT,37.5239946000,-122.3519439000,142.80854271687713,14.427154,0.1,320.06012,1626295933999,,,,
Fix,GT,37.5240941000,-122.3520491000,142.2785403086964,14.4476795,0.1,319.9499,1626295934999,,,,
Fix,GT,37.5241935000,-122.3521548000,141.78452967120393,14.466064,0.1,319.70187,1626295935999,,,,
Fix,GT,37.5242922000,-122.3522596000,141.31548250676497,13.993408,0.1,319.94965,1626295936999,,,,
Fix,GT,37.5243831000,-122.3523549000,140.88553171837793,12.190043,0.1,320.27313,1626295937999,,,,
Fix,GT,37.5244599000,-122.3524361000,140.44251969069865,10.070316,0.1,319.8207,1626295938999,,,,
Fix,GT,37.5245212000,-122.3525019000,140.1444433426841,7.749169,0.1,319.44763,1626295939999,,,,
Fix,GT,37.5245665000,-122.3525500000,139.90441129777173,5.487348,0.1,319.89554,1626295940999,,,,
Fix,GT,37.5245973000,-122.3525830000,139.7404022711653,3.5298433,0.1,319.76886,1626295941999,,,,
Fix,GT,37.5246154000,-122.3526024000,139.65334698309016,1.8616433,0.1,319.64786,1626295942999,,,,
Fix,GT,37.5246261000,-122.3526138000,139.61536032368167,1.689039,0.1,319.5575,1626295943999,,,,
Fix,GT,37.5246404000,-122.3526307000,139.55439391403797,2.7142513,0.1,317.63904,1626295944999,,,,
Fix,GT,37.5246582000,-122.3526604000,139.47737138809498,3.7053263,0.1,307.5992,1626295945999,,,,
