MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4441065000,-122.2327675000,11.177630091380166,0.0014142136,0.1,30.312412,1626727759438,,,,
Fix,GT,37.4441065000,-122.2327675000,11.17662968705207,0.0019170536,0.1,30.312468,1626727760438,,,,
Fix,GT,37.4441065000,-122.2327675000,11.17662968705207,0.002236068,0.1,30.312563,1626727761438,,,,
Fix,GT,37.4441065000,-122.2327675000,11.175630236398263,0.002236068,0.1,30.31252,1626727762438,,,,
Fix,GT,37.4441065000,-122.2327675000,11.17662968705207,0.002532599,0.1,30.312372,1626727763438,,,,
Fix,GT,37.4441065000,-122.2327675000,11.178629542033974,0.005099019,0.1,30.311743,1626727764438,,,,
Fix,GT,37.4441064000,-122.2327674000,11.187018200020702,0.122179255,0.1,30.421461,1626727765438,,,,
Fix,GT,37.4441040000,-122.2327708000,11.184242072921677,0.58817893,0.1,26.831423,1626727766438,,,,
Fix,GT,37.4440989000,-122.2327778000,11.172241989117595,0.9164654,0.1,17.049238,1626727767438,,,,
Fix,GT,37.4440908000,-122.2327854000,11.153853103619781,1.0680526,0.1,3.9974644,1626727768438,,,,
Fix,GT,37.4440827000,-122.2327898000,11.135241703350403,0.61844546,0.1,352.9763,1626727769438,,,,
Fix,GT,37.4440801000,-122.2327907000,11.134018119651273,0.031770922,0.1,349.80905,1626727770438,,,,
Fix,GT,37.4440808000,-122.2327909000,11.130018077968884,0.36022538,0.1,349.33206,1626727771438,,,,
Fix,GT,37.4440877000,-122.2327970000,11.15257086099831,1.440139,0.1,340.15717,1626727772438,,,,
Fix,GT,37.4440977000,-122.2328166000,11.175242248636266,2.3171923,0.1,315.47034,1626727773438,,,,
Fix,GT,37.4441005000,-122.2328495000,11.129524892177358,3.239091,0.1,283.54364,1626727774438,,,,
Fix,GT,37.4440897000,-122.2328894000,11.067136666879321,3.8798802,0.1,253.03557,1626727775438,,,,
Fix,GT,37.4440644000,-122.2329221000,10.968136362519232,3.8567438,0.1,226.36354,1626727776438,,,,
Fix,GT,37.4440387000,-122.2329394000,10.873689514680223,2.3094566,0.1,211.11691,1626727777438,,,,
Fix,GT,37.4440223000,-122.2329498000,10.813077595079335,2.2099364,0.1,208.45584,1626727778438,,,,
Fix,GT,37.4440027000,-122.2329626000,10.72353790789515,2.7506773,0.1,207.71355,1626727779438,,,,
Fix,GT,37.4439758000,-122.2329796000,10.683748022392962,4.008405,0.1,206.91507,1626727780438,,,,
Fix,GT,37.4439403000,-122.2330026000,10.606912762093572,4.5603886,0.1,207.21683,1626727781438,,,,
Fix,GT,37.4439058000,-122.2330266000,10.540077248098214,4.1591477,0.1,209.4898,1626727782438,,,,
Fix,GT,37.4438783000,-122.2330516000,10.473524754371397,3.2103822,0.1,215.75165,1626727783438,,,,
Fix,GT,37.4438616000,-122.2330710000,10.374584137665295,1.9720749,0.1,221.37054,1626727784438,,,,
Fix,GT,37.4438517000,-122.2330908000,10.24719596084833,2.2211683,0.1,232.61317,1626727785438,,,,
Fix,GT,37.4438483000,-122.2331202000,10.114301368559609,2.9518337,0.1,255.27284,1626727786438,,,,
Fix,GT,37.4438549000,-122.2331617000,10.087465199024734,4.4755135,0.1,279.23206,1626727787438,,,,
Fix,GT,37.4438757000,-122.2332180000,9.972195090035513,6.497224,0.1,295.27844,1626727788438,,,,
Fix,GT,37.4439074000,-122.2332924000,9.732478737963447,8.386913,0.1,298.86844,1626727789438,,,,
Fix,GT,37.4439487000,-122.2333789000,9.514820154927378,9.435401,0.1,301.39322,1626727790438,,,,
Fix,GT,37.4439958000,-122.2334747000,9.25447877534657,10.347498,0.1,301.64984,1626727791438,,,,
Fix,GT,37.4440458000,-122.2335751000,8.94864311354661,10.661612,0.1,302.16168,1626727792438,,,,
Fix,GT,37.4440982000,-122.2336784000,8.69691264592052,10.940859,0.1,302.61267,1626727793438,,,,
Fix,GT,37.4441520000,-122.2337826000,8.487537586637131,11.016121,0.1,303.27817,1626727794438,,,,
Fix,GT,37.4442068000,-122.2338861000,8.252702371611349,10.879244,0.1,303.67114,1626727795438,,,,
Fix,GT,37.4442588000,-122.2339849000,8.022866648369927,9.937076,0.1,303.32196,1626727796438,,,,
Fix,GT,37.4443049000,-122.2340725000,7.8524194457639,8.6483755,0.1,303.48483,1626727797438,,,,
Fix,GT,37.4443438000,-122.2341474000,7.674031106851928,6.9716134,0.1,302.32523,1626727798438,,,,
Fix,GT,37.4443690000,-122.2342041000,7.567136436697297,4.4720488,0.1,298.70422,1626727799438,,,,
