MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.6922077000,-122.0883989000,21.07734998830108,0.001,0.1,288.26688,1694115208448,,,,
Fix,GT,37.6922077000,-122.0883989000,21.077350616455078,0.0010899621,0.1,288.26736,1694115209448,,,,
Fix,GT,37.6922077000,-122.0883989000,21.077350616455078,0.0022700652,0.1,288.2682,1694115210448,,,,
Fix,GT,37.6922077000,-122.0883989000,21.07734998830108,0.0026276244,0.1,288.26733,1694115211448,,,,
Fix,GT,37.6922077000,-122.0883989000,21.077350616455078,0.0005125543,0.1,288.26718,1694115212448,,,,
Fix,GT,37.6922077000,-122.0883990000,21.077350616455078,0.001212307,0.1,288.2677,1694115213448,,,,
Fix,GT,37.6922077000,-122.0883990000,21.077350616455078,0.0015414386,0.1,288.26736,1694115214448,,,,
Fix,GT,37.6922077000,-122.0883990000,21.078349438954888,0.0,0.1,288.26578,1694115215448,,,,
Fix,GT,37.6922077000,-122.0883990000,21.078350067138672,0.0014142136,0.1,288.26584,1694115216448,,,,
Fix,GT,37.6922076000,-122.0883985000,21.08083805368551,0.12971762,0.1,288.2738,1694115217448,,,,
Fix,GT,37.6922070000,-122.0883958000,21.09083667649554,0.38594192,0.1,288.43427,1694115218448,,,,
Fix,GT,37.6922060000,-122.0883895000,21.108324681142676,0.69286597,0.1,290.67453,1694115219448,,,,
Fix,GT,37.6922057000,-122.0883791000,21.131325398186505,0.918916,0.1,300.35657,1694115220448,,,,
Fix,GT,37.6922036000,-122.0883668000,21.151837829463318,0.77693856,0.1,312.48785,1694115221448,,,,
Fix,GT,37.6922025000,-122.0883637000,21.161375345265697,0.026469503,0.1,315.67615,1694115222448,,,,
Fix,GT,37.6922026000,-122.0883636000,21.156862432661114,0.012915282,0.1,315.83685,1694115223448,,,,
Fix,GT,37.6922053000,-122.0883667000,21.140375436937575,0.9450749,0.1,316.5148,1694115224448,,,,
Fix,GT,37.6922169000,-122.0883775000,21.09542559845886,2.3108482,0.1,320.51163,1694115225448,,,,
Fix,GT,37.6922399000,-122.0883944000,21.011500946013996,3.6474526,0.1,328.15594,1694115226448,,,,
Fix,GT,37.6922751000,-122.0884118000,20.893400484121457,4.850439,0.1,338.87024,1694115227448,,,,
Fix,GT,37.6923201000,-122.0884234000,20.83993797348421,5.2394514,0.1,349.17957,1694115228448,,,,
Fix,GT,37.6923689000,-122.0884325000,20.738374391312846,5.951297,0.1,351.0987,1694115229448,,,,
Fix,GT,37.6924258000,-122.0884491000,20.60003739388401,6.9694633,0.1,344.87134,1694115230448,,,,
Fix,GT,37.6924880000,-122.0884800000,20.41611393519588,7.5959916,0.1,336.6547,1694115231448,,,,
Fix,GT,37.6925504000,-122.0885185000,20.222063820587437,7.804305,0.1,332.73315,1694115232448,,,,
Fix,GT,37.6926122000,-122.0885613000,20.026163791199167,7.844652,0.1,330.67245,1694115233448,,,,
Fix,GT,37.6926736000,-122.0886058000,19.871013413251603,7.8650703,0.1,329.75717,1694115234448,,,,
Fix,GT,37.6927346000,-122.0886512000,19.69916353044823,7.8714447,0.1,329.1783,1694115235448,,,,
Fix,GT,37.6927938000,-122.0886957000,19.540551396484318,7.2424507,0.1,328.89093,1694115236448,,,,
Fix,GT,37.6928462000,-122.0887339000,19.400986856152656,6.2106447,0.1,330.5003,1694115237448,,,,
Fix,GT,37.6928932000,-122.0887616000,19.302012575557455,5.3954973,0.1,336.25296,1694115238448,,,,
Fix,GT,37.6929376000,-122.0887719000,19.193936870479433,4.9279566,0.1,352.17468,1694115239448,,,,
Fix,GT,37.6929805000,-122.0887714000,19.147450166833266,4.5237594,0.1,359.55234,1694115240448,,,,
Fix,GT,37.6930167000,-122.0887741000,19.069426119131492,3.428304,0.1,356.34195,1694115241448,,,,
