MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.6922054000,-122.0884001000,21.074630226995424,0.0009971235,0.1,288.26685,1694115207000,,,,
Fix,GT,37.6922054000,-122.0884001000,21.074631080782076,0.000002879636,0.1,288.26697,1694115208000,,,,
Fix,GT,37.6922054000,-122.0884001000,21.07463067842285,0.000002882776,0.1,288.26736,1694115209000,,,,
Fix,GT,37.6922054000,-122.0884001000,21.074630276063623,0.0010035672,0.099,288.2677,1694115210000,,,,
Fix,GT,37.6922054000,-122.0884001000,21.074631129850275,0.0031560306,0.1,288.26794,1694115211000,,,,
Fix,GT,37.6922054000,-122.0884001000,21.0746309384843,0.0019971079,0.1,288.26782,1694115212000,,,,
Fix,GT,37.6922054000,-122.0884001000,21.074630541031894,0.0014130143,0.1,288.26712,1694115213000,,,,
Fix,GT,37.6922054000,-122.0884002000,21.074630138672667,0.0035991995,0.1,288.26865,1694115214000,,,,
Fix,GT,37.6922054000,-122.0884002000,21.075630443155013,0.001,0.1,288.26523,1694115215000,,,,
Fix,GT,37.6922054000,-122.0884002000,21.075630040776705,0.0009970953,0.1,288.26535,1694115216000,,,,
Fix,GT,37.6922054000,-122.0884001000,21.076629089055928,0.044648763,0.1,288.26752,1694115217000,,,,
Fix,GT,37.6922050000,-122.0883986000,21.08263337616452,0.24927172,0.1,288.31287,1694115218000,,,,
Fix,GT,37.6922040000,-122.0883942000,21.097635073272766,0.5626284,0.1,289.0272,1694115219000,,,,
Fix,GT,37.6922037000,-122.0883857000,21.118635631814698,0.82089734,0.1,295.2473,1694115220000,,,,
Fix,GT,37.6922028000,-122.0883742000,21.143633412901167,1.0093927,0.1,307.33026,1694115221000,,,,
Fix,GT,37.6922009000,-122.0883662000,21.152630014819277,0.13278666,0.1,315.5365,1694115222000,,,,
Fix,GT,37.6922009000,-122.0883661000,21.15463125698974,0.009834957,0.1,315.76855,1694115223000,,,,
Fix,GT,37.6922016000,-122.0883670000,21.144627272555983,0.473345,0.099,315.93585,1694115224000,,,,
Fix,GT,37.6922088000,-122.0883742000,21.11661923634098,1.6593201,0.1,318.19415,1694115225000,,,,
Fix,GT,37.6922267000,-122.0883891000,21.050606881064006,3.0656073,0.099,324.30975,1694115226000,,,,
Fix,GT,37.6922568000,-122.0884074000,20.94560186887648,4.281963,0.1,333.73126,1694115227000,,,,
Fix,GT,37.6922990000,-122.0884222000,20.87758866737033,5.2144947,0.099,345.43933,1694115228000,,,,
Fix,GT,37.6923459000,-122.0884313000,20.799570568492175,5.48907,0.1,351.1071,1694115229000,,,,
Fix,GT,37.6923991000,-122.0884430000,20.66259120487986,6.503112,0.099,348.8182,1694115230000,,,,
Fix,GT,37.6924592000,-122.0884677000,20.492585817280926,7.467168,0.1,339.74774,1694115231000,,,,
Fix,GT,37.6925215000,-122.0885035000,20.304565776827733,7.70062,0.1,334.2521,1694115232000,,,,
Fix,GT,37.6925835000,-122.0885448000,20.124600103922464,7.8344307,0.1,331.5127,1694115233000,,,,
Fix,GT,37.6926450000,-122.0885886000,19.918595388869836,7.8560343,0.1,330.09717,1694115234000,,,,
Fix,GT,37.6927061000,-122.0886336000,19.753602559486765,7.875521,0.1,329.41504,1694115235000,,,,
Fix,GT,37.6927668000,-122.0886791000,19.60958009444402,7.664726,0.1,328.93915,1694115236000,,,,
Fix,GT,37.6928224000,-122.0887207000,19.46159140942447,6.6693397,0.1,329.45752,1694115237000,,,,
Fix,GT,37.6928715000,-122.0887536000,19.33760609005187,5.748553,0.1,333.02997,1694115238000,,,,
Fix,GT,37.6929174000,-122.0887728000,19.241597614928352,5.0412455,0.099,344.65866,1694115239000,,,,
Fix,GT,37.6929618000,-122.0887748000,19.15862739743566,4.8152294,0.1,358.49368,1694115240000,,,,
Fix,GT,37.6930019000,-122.0887757000,19.086624113964973,3.9718754,0.1,358.0915,1694115241000,,,,
Fix,GT,37.6930321000,-122.0887799000,19.044608802914674,2.7242663,0.1,354.0545,1694115242000,,,,
Fix,GT,37.6930513000,-122.0887848000,19.016627229532347,1.706892,0.1,350.37494,1694115243000,,,,
Fix,GT,37.6930627000,-122.0887883000,19.010629897374805,0.85215247,0.1,348.30734,1694115244000,,,,
Fix,GT,37.6930663000,-122.0887896000,18.99662622588975,0.25482282,0.1,347.5523,1694115245000,,,,
Fix,GT,37.6930677000,-122.0887901000,18.990628899919763,0.02057554,0.099,347.2705,1694115246000,,,,
Fix,GT,37.6930679000,-122.0887902000,18.98762774121456,0.0274556,0.1,347.2265,1694115247000,,,,
Fix,GT,37.6930699000,-122.0887909000,18.97062192685057,0.61592025,0.1,346.82513,1694115248000,,,,
Fix,GT,37.6930786000,-122.0887943000,18.91159729009842,1.3713543,0.1,345.3539,1694115249000,,,,
Fix,GT,37.6930933000,-122.0888005000,18.76759964445816,1.7815901,0.1,342.59167,1694115250000,,,,
Fix,GT,37.6931075000,-122.0888083000,18.626534102639468,1.6865621,0.1,339.11377,1694115251000,,,,
Fix,GT,37.6931209000,-122.0888166000,18.581655002679305,1.541339,0.1,335.5019,1694115252000,,,,
Fix,GT,37.6931332000,-122.0888280000,18.685658521593858,1.8276137,0.1,327.9804,1694115253000,,,,
Fix,GT,37.6931432000,-122.0888445000,18.785656109491175,1.7160474,0.1,314.93842,1694115254000,,,,
Fix,GT,37.6931482000,-122.0888617000,18.8796522413956,1.2664853,0.1,300.96802,1694115255000,,,,
Fix,GT,37.6931504000,-122.0888755000,18.921637126823555,1.3857799,0.1,291.52313,1694115256000,,,,
Fix,GT,37.6931527000,-122.0889002000,18.94563656010615,3.0049691,0.099,281.7012,1694115257000,,,,
Fix,GT,37.6931570000,-122.0889415000,18.991648629648722,4.212531,0.1,277.7881,1694115258000,,,,
Fix,GT,37.6931585000,-122.0889913000,19.049641625218175,4.4256406,0.1,271.41193,1694115259000,,,,
Fix,GT,37.6931551000,-122.0890403000,19.079642518808654,4.3460283,0.1,264.43774,1694115260000,,,,
Fix,GT,37.6931469000,-122.0890897000,19.118632967873328,4.4241657,0.1,257.68524,1694115261000,,,,
Fix,GT,37.6931346000,-122.0891361000,19.165648351103926,4.167105,0.1,251.21086,1694115262000,,,,
