MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4282903,-122.0725281,-28.20880043,0.013611529,0.1,238.64088,1.59305E+12,,,,
Fix,GT,37.4282902,-122.0725281,-28.20980072,0.020511672,0.1,238.64206,1.59305E+12,,,,
Fix,GT,37.4282895,-122.0725289,-28.22180176,0.47322106,0.1,238.31201,1.59305E+12,,,,
Fix,GT,37.4282826,-122.0725375,-28.20816187,1.5512872,0.1,233.01088,1.59305E+12,,,,
Fix,GT,37.4282717,-122.0725548,-28.18984868,2.3169348,0.1,233.92097,1.59305E+12,,,,
Fix,GT,37.4282673,-122.0725841,-28.23957215,3.0183043,0.1,255.60587,1.59305E+12,,,,
Fix,GT,37.4282774,-122.0726213,-28.18375239,4.058316,0.1,286.56152,1.59305E+12,,,,
Fix,GT,37.4283042,-122.0726667,-28.23130565,6.075042,0.1,306.06757,1.59305E+12,,,,
Fix,GT,37.4283392,-122.0727336,-28.31325712,7.9996066,0.1,301.27417,1.59305E+12,,,,
Fix,GT,37.4283688,-122.0728241,-28.40148572,9.257176,0.1,288.57315,1.59305E+12,,,,
Fix,GT,37.4283836,-122.0729343,-28.47243842,10.432119,0.1,275.88873,1.59305E+12,,,,
Fix,GT,37.4283872,-122.0730581,-28.44129604,11.476551,0.1,270.44656,1.59305E+12,,,,
Fix,GT,37.4283855,-122.0731938,-28.34566687,12.50405,0.1,268.81915,1.59305E+12,,,,
Fix,GT,37.428383,-122.0733396,-28.18406765,13.318168,0.1,269.0686,1.59305E+12,,,,
Fix,GT,37.428382,-122.0734955,-28.07406811,14.27623,0.1,269.52063,1.59305E+12,,,,
Fix,GT,37.4283813,-122.0736616,-28.02021111,14.9529505,0.1,269.7542,1.59305E+12,,,,
Fix,GT,37.4283808,-122.0738303,-28.07466696,14.8696995,0.1,269.82727,1.59305E+12,,,,
Fix,GT,37.4283803,-122.0739986,-28.19435343,15.067646,0.1,269.71838,1.59305E+12,,,,
Fix,GT,37.4283793,-122.0741726,-28.28184768,15.66316,0.1,269.51123,1.59305E+12,,,,
Fix,GT,37.4283783,-122.0743511,-28.36012533,15.9346695,0.1,269.64856,1.59305E+12,,,,
Fix,GT,37.4283776,-122.0745339,-28.4889442,16.4443,0.1,269.91336,1.59305E+12,,,,
Fix,GT,37.4283779,-122.0747233,-28.74872553,17.106218,0.1,270.33618,1.59305E+12,,,,
Fix,GT,37.4283794,-122.07492,-29.1533144,17.699331,0.1,270.5685,1.59305E+12,,,,
Fix,GT,37.4283808,-122.0751224,-29.60809734,18.05284,0.1,270.36063,1.59305E+12,,,,
Fix,GT,37.4283817,-122.0753266,-29.93262896,18.045935,0.1,270.4042,1.59305E+12,,,,
Fix,GT,37.4283828,-122.0755296,-30.07839089,17.908596,0.1,270.3536,1.59305E+12,,,,
Fix,GT,37.4283835,-122.0757315,-30.13102861,17.802687,0.1,270.1668,1.59305E+12,,,,
Fix,GT,37.4283839,-122.0759313,-30.18907659,17.574022,0.1,270.28702,1.59305E+12,,,,
Fix,GT,37.4283833,-122.0761286,-30.23957215,17.342264,0.1,268.99368,1.59305E+12,,,,
Fix,GT,37.428376,-122.0763238,-30.29871519,17.293053,0.1,265.49265,1.59305E+12,,,,
Fix,GT,37.4283564,-122.0765178,-30.25588738,17.319107,0.1,260.44946,1.59305E+12,,,,
Fix,GT,37.4283233,-122.0767094,-30.18734363,17.348907,0.1,255.84668,1.59305E+12,,,,
