MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4441058000,-122.2327661000,11.178950309753418,0.002236068,0.1,30.312366,1626727760999,,,,
Fix,GT,37.4441058000,-122.2327661000,11.178950309753418,0.002236068,0.1,30.31236,1626727761999,,,,
Fix,GT,37.4441058000,-122.2327661000,11.177950859069824,0.002236068,0.1,30.312555,1626727762999,,,,
Fix,GT,37.4441058000,-122.2327661000,11.179950714111328,0.0049874433,0.1,30.312191,1626727763999,,,,
Fix,GT,37.4441058000,-122.2327661000,11.183945878337227,0.006984576,0.1,30.401577,1626727764999,,,,
Fix,GT,37.4441046000,-122.2327674000,11.188950538635254,0.38325498,0.1,29.346262,1626727765999,,,,
Fix,GT,37.4441010000,-122.2327731000,11.180954712798666,0.785012,0.1,21.868525,1626727766999,,,,
Fix,GT,37.4440943000,-122.2327807000,11.164959464486913,1.0468403,0.1,9.948005,1626727767999,,,,
Fix,GT,37.4440857000,-122.2327868000,11.142959158284157,0.871084,0.1,356.99442,1626727768999,,,,
Fix,GT,37.4440806000,-122.2327890000,11.134950637817383,0.21930692,0.1,350.2222,1626727769999,,,,
Fix,GT,37.4440803000,-122.2327891000,11.136950492858887,0.016732506,0.1,349.62677,1626727770999,,,,
Fix,GT,37.4440839000,-122.2327913000,11.13895034790039,0.9543413,0.1,346.4956,1626727771999,,,,
Fix,GT,37.4440942000,-122.2328049000,11.174936940323505,1.940491,0.1,327.65585,1626727772999,,,,
Fix,GT,37.4441016000,-122.2328329000,11.160968874803189,2.7616487,0.1,297.5178,1626727773999,,,,
Fix,GT,37.4440977000,-122.2328721000,11.11097779719637,3.6764958,0.1,266.28317,1626727774999,,,,
Fix,GT,37.4440778000,-122.2329102000,11.017995619028511,3.9947152,0.1,237.13481,1626727775999,,,,
