MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.6922066000,-122.0883995000,21.076949445100126,0.001,0.1,288.26706,1694115207434,,,,
Fix,GT,37.6922066000,-122.0883995000,21.076950073242188,0.001,0.1,288.26688,1694115208434,,,,
Fix,GT,37.6922066000,-122.0883995000,21.076950073242188,0.00076414977,0.1,288.2672,1694115209434,,,,
Fix,GT,37.6922066000,-122.0883995000,21.07695070138425,0.0018904164,0.1,288.26797,1694115210434,,,,
Fix,GT,37.6922066000,-122.0883995000,21.07695070138425,0.0027389354,0.1,288.2674,1694115211434,,,,
Fix,GT,37.6922066000,-122.0883995000,21.07695070138425,0.00065826194,0.1,288.26727,1694115212434,,,,
Fix,GT,37.6922066000,-122.0883996000,21.076949445100126,0.001272661,0.1,288.26782,1694115213434,,,,
Fix,GT,37.6922066000,-122.0883996000,21.07695070138425,0.0010806709,0.1,288.2673,1694115214434,,,,
Fix,GT,37.6922066000,-122.0883996000,21.07795015209763,0.0,0.1,288.26593,1694115215434,,,,
Fix,GT,37.6922066000,-122.0883996000,21.077948895753934,0.0014142136,0.1,288.2659,1694115216434,,,,
Fix,GT,37.6922065000,-122.0883991000,21.080291882964502,0.12676921,0.1,288.2738,1694115217434,,,,
Fix,GT,37.6922058000,-122.0883965000,21.090290227811693,0.38118866,0.1,288.42758,1694115218434,,,,
Fix,GT,37.6922049000,-122.0883903000,21.107632605236972,0.6897117,0.1,290.5926,1694115219434,,,,
Fix,GT,37.6922047000,-122.0883802000,21.130633322400058,0.9165578,0.1,300.18286,1694115220434,,,,
Fix,GT,37.6922027000,-122.0883681000,21.15129102859146,0.7906555,0.1,312.35178,1694115221434,,,,
Fix,GT,37.6922017000,-122.0883649000,21.161266056830755,0.02627146,0.1,315.67957,1694115222434,,,,
Fix,GT,37.6922018000,-122.0883649000,21.156607794692377,0.010872902,0.1,315.83408,1694115223434,,,,
Fix,GT,37.6922044000,-122.0883679000,21.14026677825416,0.9289003,0.1,316.48376,1694115224434,,,,
Fix,GT,37.6922159000,-122.0883786000,21.095899374694227,2.2899961,0.1,320.4244,1694115225434,,,,
