MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.6922042000,-122.0884007000,21.077051378644597,0.0,0.1,288.2671,1694115206000,,,,
Fix,GT,37.6922042000,-122.0884007000,21.077051525866096,0.0009958355,0.1,288.26685,1694115207000,,,,
Fix,GT,37.6922042000,-122.0884007000,21.077051044942525,0.0000041686244,0.1,288.26697,1694115208000,,,,
Fix,GT,37.6922042000,-122.0884007000,21.077050564018954,0.000004172714,0.1,288.26736,1694115209000,,,,
Fix,GT,37.6922042000,-122.0884007000,21.077050721055222,0.0010051628,0.1,288.2677,1694115210000,,,,
Fix,GT,37.6922042000,-122.0884007000,21.077051084201592,0.0031532373,0.1,288.26794,1694115211000,,,,
Fix,GT,37.6922042000,-122.0884007000,21.077051653458064,0.001995815,0.1,288.26782,1694115212000,,,,
Fix,GT,37.6922042000,-122.0884007000,21.07705118234926,0.0014124783,0.1,288.26712,1694115213000,,,,
Fix,GT,37.6922042000,-122.0884008000,21.077050927165324,0.0035963622,0.1,288.26865,1694115214000,,,,
Fix,GT,37.6922042000,-122.0884008000,21.078050328761588,0.001,0.1,288.26523,1694115215000,,,,
Fix,GT,37.6922042000,-122.0884008000,21.078050279685428,0.0009957983,0.1,288.26535,1694115216000,,,,
Fix,GT,37.6922042000,-122.0884007000,21.079050103349704,0.04467133,0.1,288.26752,1694115217000,,,,
Fix,GT,37.6922038000,-122.0883992000,21.08505520308374,0.24930789,0.1,288.31287,1694115218000,,,,
Fix,GT,37.6922028000,-122.0883948000,21.100057932967616,0.5626766,0.1,289.02747,1694115219000,,,,
Fix,GT,37.6922026000,-122.0883865000,21.121058646024665,0.8209361,0.1,295.24875,1694115220000,,,,
Fix,GT,37.6922019000,-122.0883752000,21.14605590301755,1.0093637,0.1,307.3319,1694115221000,,,,
Fix,GT,37.6922000000,-122.0883674000,21.155050307263224,0.13262622,0.1,315.53665,1694115222000,,,,
Fix,GT,37.6922001000,-122.0883673000,21.157051697251,0.009828761,0.1,315.76855,1694115223000,,,,
Fix,GT,37.6922008000,-122.0883682000,21.14704698881887,0.47347426,0.1,315.9359,1694115224000,,,,
Fix,GT,37.6922080000,-122.0883755000,21.119034130525364,1.6595149,0.1,318.19476,1694115225000,,,,
Fix,GT,37.6922260000,-122.0883905000,21.053017312829827,3.0657756,0.1,324.3108,1694115226000,,,,
Fix,GT,37.6922563000,-122.0884089000,20.94800941933987,4.2821207,0.1,333.73267,1694115227000,,,,
Fix,GT,37.6922987000,-122.0884238000,20.87999173917554,5.214501,0.1,345.44064,1694115228000,,,,
Fix,GT,37.6923458000,-122.0884329000,20.801964046374053,5.489194,0.1,351.10727,1694115229000,,,,
Fix,GT,37.6923989000,-122.0884446000,20.664995027065153,6.5032434,0.1,348.81723,1694115230000,,,,
Fix,GT,37.6924588000,-122.0884692000,20.49498674295463,7.467231,0.1,339.74667,1694115231000,,,,
Fix,GT,37.6925210000,-122.0885050000,20.30695622442742,7.700655,0.1,334.25162,1694115232000,,,,
Fix,GT,37.6925829000,-122.0885463000,20.127007466145507,7.8344274,0.1,331.51245,1694115233000,,,,
Fix,GT,37.6926444000,-122.0885900000,19.920999269143056,7.856032,0.1,330.09705,1694115234000,,,,
Fix,GT,37.6927056000,-122.0886350000,19.756011713577983,7.875529,0.1,329.41495,1694115235000,,,,
Fix,GT,37.6927663000,-122.0886805000,19.611978634083098,7.6646233,0.1,328.93912,1694115236000,,,,
Fix,GT,37.6928219000,-122.0887222000,19.463994186475475,6.6692014,0.1,329.45773,1694115237000,,,,
Fix,GT,37.6928711000,-122.0887551000,19.34001541417095,5.7484627,0.1,333.03076,1694115238000,,,,
Fix,GT,37.6929171000,-122.0887744000,19.24400406700116,5.0412035,0.1,344.66092,1694115239000,,,,
Fix,GT,37.6929618000,-122.0887764000,19.16104626350252,4.815185,0.1,358.49442,1694115240000,,,,
Fix,GT,37.6930019000,-122.0887773000,19.089041797991207,3.9717193,0.1,358.09103,1694115241000,,,,
Fix,GT,37.6930320000,-122.0887815000,19.047020754231703,2.7241004,0.1,354.05392,1694115242000,,,,
Fix,GT,37.6930511000,-122.0887864000,19.0190461426688,1.706791,0.1,350.3746,1694115243000,,,,
Fix,GT,37.6930625000,-122.0887899000,19.013050282979457,0.85198164,0.1,348.3072,1694115244000,,,,
Fix,GT,37.6930661000,-122.0887912000,18.999045419982316,0.2548382,0.1,347.55228,1694115245000,,,,
Fix,GT,37.6930675000,-122.0887917000,18.99304976309128,0.020557798,0.1,347.27048,1694115246000,,,,
Fix,GT,37.6930677000,-122.0887918000,18.990046850866367,0.027454063,0.1,347.2265,1694115247000,,,,
Fix,GT,37.6930697000,-122.0887925000,18.97303756289041,0.61603284,0.1,346.82498,1694115248000,,,,
Fix,GT,37.6930784000,-122.0887959000,18.91400352722546,1.371438,0.1,345.35373,1694115249000,,,,
Fix,GT,37.6930930000,-122.0888020000,18.770006220797896,1.7815868,0.1,342.59113,1694115250000,,,,
Fix,GT,37.6931071000,-122.0888098000,18.628912340547984,1.6866041,0.1,339.1133,1694115251000,,,,
Fix,GT,37.6931204000,-122.0888181000,18.584085914023916,1.5413425,0.1,335.50125,1694115252000,,,,
Fix,GT,37.6931326000,-122.0888294000,18.688090178384456,1.8276112,0.1,327.97885,1694115253000,,,,
Fix,GT,37.6931424000,-122.0888457000,18.788089415217275,1.7160338,0.1,314.93643,1694115254000,,,,
Fix,GT,37.6931471000,-122.0888626000,18.882082267916353,1.2664125,0.1,300.96652,1694115255000,,,,
Fix,GT,37.6931492000,-122.0888762000,18.92405965312193,1.3859118,0.1,291.52188,1694115256000,,,,
Fix,GT,37.6931515000,-122.0889006000,18.948060552551425,3.0051692,0.1,281.70044,1694115257000,,,,
Fix,GT,37.6931557000,-122.0889418000,18.99407759024664,4.2126403,0.1,277.78748,1694115258000,,,,
Fix,GT,37.6931572000,-122.0889915000,19.052067288248626,4.4256124,0.1,271.41098,1694115259000,,,,
Fix,GT,37.6931538000,-122.0890403000,19.082067957201065,4.3460717,0.1,264.43683,1694115260000,,,,
Fix,GT,37.6931457000,-122.0890894000,19.121053950525706,4.424139,0.1,257.68433,1694115261000,,,,
Fix,GT,37.6931334000,-122.0891357000,19.168077544769883,4.1670294,0.1,251.21005,1694115262000,,,,
Fix,GT,37.6931201000,-122.0891736000,19.215067723962264,3.0660121,0.1,246.52774,1694115263000,,,,
Fix,GT,37.6931103000,-122.0891993000,19.247064986601167,2.0465934,0.1,244.71574,1694115264000,,,,
Fix,GT,37.6931034000,-122.0892159000,19.271060724894504,1.3227968,0.1,243.28055,1694115265000,,,,
Fix,GT,37.6930985000,-122.0892274000,19.29105830470563,0.93312466,0.099,242.69603,1694115266000,,,,
Fix,GT,37.6930958000,-122.0892340000,19.301055042883327,0.36561075,0.1,242.61812,1694115267000,,,,
Fix,GT,37.6930947000,-122.0892368000,19.30305140835249,0.22304691,0.1,242.64215,1694115268000,,,,
Fix,GT,37.6930942000,-122.0892380000,19.30305080611069,0.057205487,0.1,242.64839,1694115269000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.30204980761695,0.0022305902,0.1,242.65057,1694115270000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301050707446834,0.0010054832,0.1,242.65034,1694115271000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.30104991652467,0.001,0.1,242.64867,1694115272000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301050276034744,0.000004444604,0.1,242.64891,1694115273000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.30104967385537,0.0014079218,0.1,242.64856,1694115274000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301050410851023,0.0,0.1,242.64842,1694115275000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.30104980867165,0.0,0.099,242.64847,1694115276000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301050554655053,0.0,0.1,242.64839,1694115277000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301050338949008,0.0,0.1,242.6482,1694115278000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301049934500174,0.0,0.1,242.64862,1694115279000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301050482753038,0.0,0.1,242.64806,1694115280000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301050267046993,0.0,0.1,242.6477,1694115281000,,,,
Fix,GT,37.6930942000,-122.0892381000,19.301050051340948,0.0009955164,0.1,242.64766,1694115282000,,,,
